,x,, y,,start extrusion speed,,end extrusion speed,,,start width,,end width,,,,,
G5 X,64.28323, Y,-0.73395, S,0.014923041509238, E,0.007931784667725,,,476,,253,,,64283.23, Y,-733.95
G5 X,45.98715, Y,-1.41158, S,0.007931784667725, E,0.015267901712183,,,253,,487,,,45987.15, Y,-1411.58
G5 X,45.13451, Y,-1.61019, S,0.015267901712183, E,0.01050256072604,,,487,,335,,,45134.51, Y,-1610.19
G5 X,26.91338, Y,-2.36277, S,0.01050256072604, E,0.015424656349885,,,335,,492,,,26913.38, Y,-2362.77
G5 X,26.02438, Y,-2.52502, S,0.015424656349885, E,0.011787948755197,,,492,,376,,,26024.38, Y,-2525.02
G5 X,0.5, Y,-3.67937, S,0.011787948755197, E,0.015675463770208,,,376,,500,,,500, Y,-3679.37
G5 X,0.5, Y,3.67937, S,0.015675463770208, E,0.015675463770208,,,500,,500,,,500, Y,3679.37
,,,,,,,,,,,,,,,,,
,,,,,width to E speed factor:,,,,,,,,,,,,
,,,,,0.007957747154595,,,,,,,,,,,,
